text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @MinGobiernoEc: El #Covid_19 es una pandemia que est afectando al mundo y a nuestro pas, evita el contacto social y cumple las medidas",FALSE,0,NA,2020-04-30T04:06:19Z,FALSE,NA,1255710046387875847,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RicardoArteaga_,15,TRUE,FALSE,NA,NA
"RT @LambaAlka: This is the real kind of discussion which India needs at this hour.. .

#Covid_19 #lockdown 

#RaghuramRajan #RahulGandhi",FALSE,0,NA,2020-04-30T04:06:19Z,FALSE,NA,1255710045788127239,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ravikaithwar2,50,TRUE,FALSE,NA,NA
"RT @rssurjewala: As #Covid_19 looms large, Shri Rahul Gandhi initiates a set of Dialogues for laying down the path.

Pl watch Shri @RahulGa",FALSE,0,NA,2020-04-30T04:06:16Z,FALSE,NA,1255710034794672128,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rajsamridhi,785,TRUE,FALSE,NA,NA
"RT @AWKWORDrap: We cant pay rent.
We cant buy food.
We cant care for our sick and dying.
We cant educate our children.

Join the #Gener",FALSE,0,NA,2020-04-30T04:06:15Z,FALSE,NA,1255710030021582848,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DisappeariodDX,775,TRUE,FALSE,NA,NA
RT @NnamdiFans: #NewscastingPresident @Buhari Jubril Why can't he do a live news conference? @Amaka_Ekwo @MazimosesAgbo @onyezeme @SaharaRe,FALSE,0,NA,2020-04-30T04:06:15Z,FALSE,NA,1255710028436291591,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",onuh48,109,TRUE,FALSE,NA,NA
"RT @AzuamInsights: A strong Immune System is a way to healthy life. https://t.co/8gZhmAVIsK
Here are the basic steps for all of us to follo",FALSE,0,NA,2020-04-30T04:06:13Z,FALSE,NA,1255710018533392384,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Foziaiqbal777,0,TRUE,FALSE,NA,NA
RT @MausterChief: @TECHOmx busca instalar 480 sistemas de captacin de agua de lluvia para que familias de escasos recursos puedan lavar su,FALSE,0,NA,2020-04-30T04:06:12Z,FALSE,NA,1255710016419631109,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Emilia_GAM,3,TRUE,FALSE,NA,NA
"RT @LambaAlka: This is the real kind of discussion which India needs at this hour.. .

#Covid_19 #lockdown 

#RaghuramRajan #RahulGandhi",FALSE,0,NA,2020-04-30T04:06:12Z,FALSE,NA,1255710014699745280,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SarabSaab1,50,TRUE,FALSE,NA,NA
"RT @azucenau: Recordemos que segn el modelo centinela, por cada caso registrado de #COVID_19 en #Mxico, hay 8.8 que no se cuentan, entonc",FALSE,0,NA,2020-04-30T04:06:08Z,FALSE,NA,1255710000489672704,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GENTLEMANGARZA,13,TRUE,FALSE,NA,NA
"Ahora el maestro Oscar Chvez con sntomas de #Covid_19,  y an as creen que esto es un invento? https://t.co/cZWGfFLmmK",FALSE,1,NA,2020-04-30T04:06:07Z,TRUE,NA,1255709993883463680,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",lalo_mg_11,0,FALSE,FALSE,NA,NA
